comments,sentiments,compound
"Northerners, how market?  This is how they'll keep slaughtering you lot until you borrow sense and end tribalism and bigotry. ",neu,0.0
A brainless aboki is the president of Nigeria yet his own house (The North) is on fire!  ,neg,-0.4003
"You cannot hold your leaders accountable because of religious and ethic sentiments. Retards! Our dear Northerners, your thirst for power will be the end of you ",pos,0.4389
Lai Mohamed will sue United Nations for fake news,neg,-0.0772
If it can serve 24/7 I'll gladly pay,pos,0.25
Talk is cheap. Useless country. Useless government.,neg,-0.6808
Even at this stage Nigeria is still talking about light since 1999. Haba which way Politicians which way....,neu,0.0
Like we care!!!,pos,0.7633
You cannot provide ordinary light you want to bill people for solar power. Did you create the sun?,pos,0.34
even NEPA doesn't serve 5hrs and you think solar will?,neu,0.0
let's chase them out,neu,0.0
Trash government,neu,0.0
That clueless cow and his gang of thieves will not die good death,neg,-0.2297
"They are just waking up after how many years? Nigeria is a country situated directly under the scorching sun, in the middle of the equator, yet suffering from epileptic power supply!!",neg,-0.5696
"Even in Europe with limited supply of sunlight and sufficiency in energy needs, their governments have been sponsoring solar system for homes because it's cheaper. But in a country with abysmal power supply and excess sunlight, the government couldn't do same. ",pos,0.0516
Useless country!!!,neg,-0.5684
the worst ever,neg,-0.6249
"Useless government. People look for ways to survive by providing everything for themselves and this government who have come to steal, kill destroy will come up with a policy to continue to milk what they cannot provide.",neg,-0.9349
That is Joe Fashola wanted to start charging for generators.,neu,0.0
"Borehole nko they look for ways to gain from it with that useless water bill, now its to pay for solar energy as if they provided the sun.",pos,0.3182
We will soon start paying for the air we breath.,neu,0.0
The cow and his cohorts cannot surprise me again.,neg,-0.2057
I weak.,neg,-0.4404
It seems you know very little about solar and its capabilities.,neu,0.0
"They are not ""billing""for solar power. Read again. The 4k per month appears to be instalment payment towards households permanently owning a  #5million solar power system.",neu,0.0
It is a good and commendable plan if corruption  does not compromise it because a 5 million solar system should be quite powerful enough to deal with all the electricity needs of a household minus AC. It is  clean and fuel-free energy also,pos,0.8687
you don't understand me bro. Harnessing solar energy and hydro energy which is more expensive?,pos,0.4939
You think you will get it?,neu,0.0
You should be worried who will get it.,neg,-0.296
How many Buhari programs have you benefitted? Just asking.,pos,0.4019
Let them tell us where they will install it and the criteria for someone to get it.,neu,0.0
"not just 24 hours but the question should be, can it carry heavy load, like air-conditioners, refrigerators, pressing iron, electric cooker and the rest.",pos,0.5023
"me I care o, you hear.",pos,0.4939
"It is for rural areas. Most villages do not have  cooker, air conditioni etc it's just bulb and phone charging",neu,0.0
"I know it's for rural areas, but when they have lights now they will start buying those things and by the way where will they have money to be paying 4k every month.",neu,0.0
It's not a bad move.,pos,0.431
"However, the repayment cost is too high especially since it seems designed to serve those in rural areas where, more often than not, the very poor people stay.",pos,0.4158
If repayment should be reduced to #2000 or the repayment period spread over a longer duration so the repayment costs will be less...,neu,0.0
Yes but how do we key in?,pos,0.2144
"I weep for my North East, where did we go wrong here that 43 people's were massacred in day? What is Buharri government doing for God sake every day we would be hearing bombing of camp this camp that,Burittai and Buharri God must surely judge you for loose of innocent Farmers life. Buharri government is  worst so far in history of our country and the entire North because no Northerners has this bad luck,.",neg,-0.9006
The redundant coupist and his useless service chiefs are all shades of fiasco!,neg,-0.75
Nigeria is in dire need of a sane and responsible leader!,neg,-0.2481
"Buhari is more concerned about building Niger Republic than building Nigeria. The plan is, wipe all the indigenous (Kanuri and Hausa) people of the North, then replace them with Fulanis from Niger Republic. Why on earth is Buhari building railway from Kano to Niger, why on earth is Buhari building refinery in Niger Republic and he careless of what happens in Nigeria. The national Assemblies should look into this issues before it will be too late for all of us.",neg,-0.3612
please can we stop spreading fake news ...@yenefer come ooo...see wailers  are discrediting buhari government..,neg,-0.4588
please help report the emir of sokoto and tgat of kaduna ...this guys were the first to discredit this government,pos,0.6124
Why you dey twist my words. I didn't mean it like that  ,neg,-0.2755
"Yes ooo!, it is so hard. They are coming for all of us one by one! wake up",pos,0.3438
ok I get ,pos,0.296
This news has not been verified by the Nigerian government. Do disregard it. Boko Haram has been technically defeated. It must be the work of bandits. This is why the noble Nigerian government should regulate social media access.,neg,-0.296
Seems there's big sense in what you just said.,neu,0.0
God save our land,pos,0.6486
What's up? ,neu,0.0
They showed this on Al-Jazeera and said 85 people been confirmed killed and many women abducted. Many of the farmers were invited in from sokoto and elsewhere to help with harvest. The whole of Nigeria is no-man's land in terms of security.,neg,-0.5719
"See the fools in the photos - if it had happened under GEJ - they would be vibrating and screaming marginalisation. Their Oga is in charge, what do you hear ...silence. ",neg,-0.7003
"Where are the Arewa folk too who say Southerners never say anything when events happen in the North. We are here now, where are you?",neu,0.0
Northerners are the biggest joke on earth.,pos,0.296
The worst is that many of these victims are bokoharam sympathisers because of their blood shocking religion.,neg,-0.8442
The real Arewa cannot make this comment. NEVER! The zombeism is unequaled. ,pos,0.2003
This must be a cloned moniker,neu,0.0
Anyways the killing is fake news targeted at tarnishing the image of our dear president.,neg,-0.7096
"I feel for you sis. That's how these stupid politicians have reduced the country to. By the way, did you say same about Lekki? Or don't you think someone was also affected in that saga?",neg,-0.6553
"Femi, who do you like this? What's your slave master doing about this gory state of the nation? If it's not fake news to them, is it not enough reason for federal government to act fast? Well everything against Buhari is fake news to you guys. who's even talking about Lekki in the first place? Just continue.",pos,0.8647
"May their souls rest in peace. The North is bleeding. The same way we promoted #endsars, it's time to promote #Endbloodbath in the North. An injury to one is an injury to all if not it will become a circus. THE GOVERNOR SHOULD RECRUIT MORE CIVILIAN JTF, THEN BUY MORE FOREIGN MACENARY FIGHTERS, HE CAN CALL SOME NORTHERN POLITICIANS TO FUND HIM OR INTERNATIONAL DONORS. THE NA HAS FAILED SO LET THEM SPEND MORE ON FOREIGN MERCENARIES WITH BETTER EQUIPMENT AND LESS PRONE TO MOLES WITHIN.",neu,0.0113
You have a big heart  to your prayer I say Amen.,neu,0.0
Stop pleading with foools. Let them enjoy what they want please. ,pos,0.5574
"They will still turn around to blame you guys in the end. Don't you learn? You are an infidel to them and will always be, according to their religion. It will never change that hate. They prefer a Niger muslim person to you a christian from the south, or don't you know?",pos,0.2401
"His own kith and kin were killed, maybe his father too was among, hence the sudden outburst. Give him 2 weeks, he'll resume insulting you again.",neg,-0.8271
United Nations and FAKE NEWS  ,neg,-0.2577
"Why are you telling me all this, I am not Buhari neither am I Zulum. Channel this to the appropriate quarters.",neu,0.0
He has condemned it already,neg,-0.4404
"I agree with you, that Zulum Governor works for CNN and he will be sanctioned.",pos,0.3612
"Nobody died, Boko Haram is the name of the Opposition, PDP",neg,-0.5574
Case Closed.,neu,0.0
"Fear north, warns the Bible. lord lugard did me much evil",neg,-0.8402
"But the North was against #EndSARS, they said it was a plot to remove their Godfather from office!",neu,0.0
"When they develop the liver to speak the truth to themselves and stop being fanatical about religion and ethnicity, they should speak out and hashtag it,  Nigerians from other regions will  join them.",pos,0.3182
One idiot will tell us BH has been defeated.,neg,-0.7506
APC and their propaganda.,neg,-0.25
"What's with the kissing smiley though, hope there's no problem? ",pos,0.6597
"It's clearly obvious that Buhari is useless and there is no point of him remaining in office, if he cannot handle the security situation in the north.At the rate people are being kill,i don't think he know the meaning of leadership.",neg,-0.5165
"Just like 98% of IPOB and OPC are Igbos and Yorubas respectively...97% of Boko haram are Kanuris.... and Kanuris in the Nigeria have close blood relatives in Chad, Cameroon and Niger hence why they can freely operate in the north eastern Nigeria without fear of being ""snitched"" on. ",pos,0.7922
The Huasas and other ethnic groups in North west can't tolerate them and thereby can't operate freely there.,neg,-0.3412
"However, Fulani bandits can be tolerated in north west because most of their people are there.",neu,0.0
"Terrorism, corruption, kidnapping and even armed robbery may not go away soon so far we have entrenched nepotism in our system. ",neg,-0.6808
Nepotism breeds injustice. Injustice breads the aforementioned crimes.,neg,-0.8126
Only a detribilized president with a massive sences of justice can save Nigeria.,pos,0.765
"What is their offence? Or is their offence being a Kanuri, or a Nigerian, or . . . Human nature!",neg,-0.5707
My condolences to their family and loved ones.,pos,0.5994
I believe you know Caliph Abubakar Shekau is a Kanuri man ...I don't know if to farm is now Haram.. God save the people of this country from its many enemies especially the ones within..,pos,0.2732
If it's to fight Ipob now they will be very articulated and smart and swift about it..Always remember a father that hides his criminal son will have no choice but to confess the day the sun sets on his household.,neg,-0.3753
So sad and really terribly sad. May their Souls Rest In Perfect Peace.,neg,-0.5391
The death of one diminishes the existence of the others. They don't deserve this death too many and on a regular basis. ,neg,-0.8316
"Since military and government can't do anything about this everyday killing of innocent people in large droves, I think it's high time we contract the job out to foreign securities, let's engage Chadians and Nigeirians army. They did the work before and am sure willing to do it again if invited.",pos,0.4404
Nigeria Army has proved over the time that they are toothless bill dogs and got no liver. They are coward and highly fatigue and lack luster and initiatives to fight the BH.  The security chiefs are all politicians and would rather interfere in political matters than concentrating and thinking of a better way to end the insurgency. They are massively corrupts and never had the determination to defeat BH.,neg,-0.9172
"As per the government, the presidency. We don't have a President. We have been without president since 2010/11 after Yaradua died. Nigeria is being led on faulty auto pilot system ever since.",neg,-0.7096
"How does Buhari and his corrupts security chiefs sleeps, how do they feel...are they human being at all? Seeing this deaths makes my face cringes in bewilderment. Every time is always the same reaction from the useless president, he said he's sorry and condemned it. What's the meaning of that ? Always sorry and condemning without taking the bull by the horn and declare an emergency rule in that part of the country and turn it to a military garrison so that the soldiers can wake up to their responsibilities instead of looking for people to kill here in the south.  Military have a more serious thing to deal with than the stupid show off they are doing in Lagos panel nonsense. Let them go and face BH and shoots blanks or whatever at them instead of parading like idiots in the south.....we need the damn military in the north even though we know they are cowards and uselsss just like Buhari and his cabinets of thieves.",neg,-0.965
Killing every week in that part of Nigeria is as guarantee as me being sure of seeing a yellow taxis in Lagos metropolis everyday.,neg,-0.2732
"So sad, and am extremely sad....no one deserve to die like this.....not in the north and not in the south...death too many.....Unending shedding of bloods in the land is erroding our humanity little by little...... ",neg,-0.6997
in my country human life has no value.,pos,0.0516
We are living far far below our potential... Our major problem are the youths who are not ready to unite and speak in one voice.,neg,-0.5873
Majority of our youths are now online tribal bigots. ,neu,0.0
We still have a very long way to go,neu,0.0
"anyway It's a faceless forum sha continue making senseless assertions. Your data , your life",neu,0.0
"Sure, my whole family are one among the few northerners that understand and believe all about ENDSARS protest, to me it isn't only about SARS but about bad leadership and failures we witnessed and are witnessing.  By the way, do you think northerners are benefiting anything from this government ? I will tell you know, those in support of this government are just bigots and been tribalistic no matter how let their kingsman rule. Thats it",neg,-0.8271
"If that's the case let us all speak out. My grouse is that, even our kinsmen think along political, tribal and religious lines when issues like this is raised. Thay think we hate Buhari or APC. But, it's beyond APC or PDP. It's about the wicked and corrupt leaders. ",neg,-0.6808
"May we and our household be protected from this carnage. Very soon, they will all know whats up... We will make sure we fish them out and slit their own throat too...then they will know how it feels.",pos,0.6369
Nigeria is in for EIGHT LOCUST years of Moving FAST in REVERSE.,neu,0.0
"Just like Covid-19, we will never forget the years 2015-2023, when Nigerians made the costliest MISTAKE of their existence.",neu,0.0085
"Tokunbo Landlord, can you swear you didn't campaign for this failed government? ",neg,-0.6218
Permanent Bastard. You are very useless and stupid,neg,-0.8822
Young man you have got papers not education. I maintain the fact that you a fool,neg,-0.4404
How do we apply?,neu,0.0
You mean a N5m worth of solar installation can not run household's ACs?,pos,0.2263
"There are some Nigerians who are not connected to the National grid as such, federal government is ready to come to their aid by giving them an alternative means to electricity supply; solar energy. This will create jobs and upgrade the livelihood of some people. This token to be paid monthly is to maintain the panel.",pos,0.836
What about other Governments giving it out for free? Or you're not paying tax again?,pos,0.7236
"The interesting part of the story are, accessibility to regular power supply and creation of employment opportunities",pos,0.7506
"Another great opportunity is here again, Access to Energy power solar system and the laudable achievement of Buhari/Osinbajo administration",pos,0.8402
"Really. That's nice.  Meanwhile I will do your Ngos CAC Newspaper Publication, Name Change , Iron Seal,  Limited Company Registration, IT e.tc. Check my signature for my contact and great reviews  thanks.",pos,0.8473
Nigeria is synonymous to retrogression ,neu,0.0
Failed cursed useless country.,neg,-0.7269
It's quite reasonable.,neu,0.0
Alot of Nigerians already own mtn solar and have been paying for years yet don't own it.,neu,0.0
How does one apply to own it?,neu,0.0
Shut up. ,neu,0.0
"That was  how your likes poopooed on Npower until we started seeing your threads on ""who has received his alert for this month?""",pos,0.6124
This people just dish out statistics to appease and deceive their ever gullible and chronic zombies.,neg,-0.4767
Nigeria is finished. ,neu,0.0
Take it or leave it.,neg,-0.0516
Why should they give it out for free?,pos,0.5106
Solar power that can carry only light bulbs and tv?  ...this country is a joke,pos,0.296
Comic relief,pos,0.4767
God bless Muhammadu Buhari,pos,0.5994
"Sounds like another audio promise, I really don't expect much from this administration anymore.",pos,0.5859
5 million for power that can not power AC? How is that good?,pos,0.504
we give Togo and Chad electricity and even planning to supply Electricity to Niger. now you want to give us Solar.,pos,0.0772
"That 5 million at 4000 a month is very suspect, it would take 83 years to pay everything.",neg,-0.4391
I also use solar power but anyone with a solar powered home knows that is is useless and will constantly go off without an inverter and batteries. Even at that a brand new solar powered system will struggle to run even a refrigerator or microwave.,neg,-0.7684
"4k per month to power two LED bulb, one fan and Bluetooth radio",pos,0.3182
Get out of here.,neu,0.0
"Whatever that comes out of their mouth is nothing but lies! Who ever that type yes is a welcome development or say if it will last for 24hours you re okey with it. Are you not tired of being deceive? Where did you keep your brain? The Yoruba control the media and what ever the supporter of APC(Fulani) told them to do, that is what they will show us on social media so that it will look like a welcome development. All re mirage! It can never be done! They are full of lies! Are you not asking yourself why they did not even give you common food during the covid19 lock down and you still want to believe them. Ha! I fear Nigeria Youth at times God!",pos,0.9786
 ....did you create the panel?,pos,0.2732
"So what's the essence of 4,000 a month without AC and refrigerator. That's a rip off",neu,0.0
"The technical specifications of various capacities should be displayed so that Nigerians will know what they are paying for, and not be shortchanged with a low quality solar package / system for such huge amount of money.",pos,0.0516
"oga no dey take nigeria compare europe ,before you put a solar panels  that can carry your fridge, tv, iron ,the type of solar  light they re talking about here is the type that will powers one electric  bulb not they type European  countries  are using,we can't manage  their type",neg,-0.296
Hydro would be cheaper in general for the first 10 years in any working country where the people in charge would not be as corrupt or as useless as our civil servants and political leaders.,neg,-0.4215
However solar technology at the moment is far cheaper than it ever use to be and far more control on generation is given to the end users which means accountability.... if this is implemented like the way the article indicates it will be it will be a game changer that will allow other Nigerians to know 24hr light is very achievable without waiting for useless leaders to their jobs. ,pos,0.8087
Just look at all they have stolen from our non-working refineries.,neg,-0.4939
"If you type anything that concern APC or Fulani, Nairaland will not post it. It will even change it to another thing entirely.",neu,0.0
Solar power won't work at night or during cloud cover in the rainy season and fog of Harmattan so it's not even going to deliver 24/7 electricity. A combination of wind and solar with inverters is the way to go.,neg,-0.0772
"Useless government, believe this at your own peril. Another scheme to loot public funds. A government that could not release indomie for citizens will give solar power.  ",neg,-0.6705
 Useless government!!!!!!!!!!!!!!!!!,neg,-0.6083
"You better migrate to neighboring west African countries like Togo, Ghana if you want to have access to 247 uninterrupted power supply, it is not far from home.",pos,0.6908
You think Nigerian government does not know such initiative in other to improve on stable electricity over the years? Why bringing such initiatives now knowing that it is only a scam. ,pos,0.1027
Believe the 419 scam at your own peril,neg,-0.7506
I don't need to read all through to know that IT WILL FAIL. EXTREME INCOMPETENCY IS HIV TO INNOVATION.,neg,-0.2263
A village man will pay 4000 naira every month for 3 years,neg,-0.1027
use your tongue to count your teeth,neu,0.0
This mentality is what is killing you people.,neg,-0.6597
You want everything for free without doing anything.,pos,0.5574
"Go to America that you all want to be like, and tell me if electricity is free there.",pos,0.7269
Nonsense. ,neg,-0.4019
Thanks very much for this. ,pos,0.4404
Until Nigerian government can achieve stable power. ,pos,0.296
Anyone who has more than enough to spend should just get the 3 sources. ,neu,0.0
I prefer my solar mostly at night if there is no government power so I can hear any noise around. ,neg,-0.296
Blue power is a no no for nights.,neg,-0.5267
What happened to electricity? I thought fashola said a good government should get it ready within 6 months?,pos,0.6966
It will make much sense if they do it.,neu,0.0
Do you live in the village?,neu,0.0
WE ARE WATCHING AS OUR MONEY TRAVELS UNDER FAKE GOVERNMENT SCHEME,neg,-0.4767
"Battery replacement be the issue , after 3 months battery will go flat , you need about 500k to replace",neu,0.0
Just like mtn lumous,pos,0.3612
U said it all. Bunch of useless people. ,neg,-0.4215
"just imagine that self deceit they are doing in the name of say them day manufacture automobiles for Kano. I give you 9 years, as them use do Peugeot for Kaduna, na so them go use do am ",neg,-0.4588
"even worse, this nonsense one they proposed will end likewise. People way no go school, i wonder what they want to say they know.",neg,-0.7978
"Nice Idea, these guys seems to be waking up from their slumber. We @SolarDuke Electrical will be glad to partner with federal government to realize this.",pos,0.7003
That article is an eye opener to anyone seeking to waste your money on solar energy..,neg,-0.4215
It seems the solar energy technology isn't advanced in our part of the world because there are electric cars with batteries that can run more than a mile with out running out of battery charge. ,pos,0.0926
Why can't such innovation be replicated in solar energy efficiency.,pos,0.3434
I have disowned this government for a very long time. All theses agenda nah scam.,neg,-0.6249
Good one ,pos,0.4404
We build affordable solar system that works 15hours in a day ,neu,0.0
15hours Powerbank for rechargeable fan now in stock,pos,0.3182
"my brother honestly the thing suppose Shame Nigeria... electricity generation is not rocket science na.. Nigeria is just a huge joke of a country, we are still talking about providing 24hours power in the country, when other countries have moved forward..",pos,0.5267
"Is it the duration you are concerned about, what about the load capacity?",neu,0.0
"I have been on solar provided by mtn Lumos for over 4months, NEPA just came to disconnect my light, me self don't dutch them, I pay 7300 every month and my light is 247, 4k, I all gladly join",pos,0.5988
This doesn't make sense. Why give individuals solar systems that cost 5million each in which the will pay 4k monthly and for just 25million which am pretty sure most will go to middle belt to up north. ,pos,0.6249
"While not have regional or better still have state solar stations that will power their constituencies. There are more than enough land that will house it. Lagos to Ibadan express way will power almost half of lagos, Ibadan and Ogun. That way, there is less burden on national grid and with the support of the solar stations, if not all, most homes will have light which is more than 25million",pos,0.4576
You must be very foolish,neg,-0.3384
What have they been doing with all the taxes they've been collecting since 1960 that they can't provide ordinary power.,neu,0.0
"I'm sure you just want to show the world your stupidity, if not no right thinking person would support this trash you posted.",pos,0.5086
"You must be very stupid to have typed this. There definitely is a timeline for this project to kick start and elapse. Then if it turned out to be a ""white elephant project"" then you can spew trash but not before.",neg,-0.1272
Let them convert the power bills Nigerians pay for every single month even when they don't get the power. ,neg,-0.1027
They can use that money and supply billions of panels and inverters and enough change would remain.,neu,0.0
"I no blame you sha, na sense you no get.",neg,-0.7003
It's a brilliant idea but you are missing two important issues. ,pos,0.2023
Will the solar panel and battery be manufactured in Nigeria?  How will Nigeria manage the N4000 month payment from the recipient of the loan?,neu,0.0
"I have always suggested that Nigeria installed electricity capacity  of  13,000 MW should be dedicated to industry and establishment and the public should be moved onto solar energy",pos,0.6249
" So how old are you now that, you want to pay #4,000 per month installment for the next 104 years before you can be a true owner of the so called solar system? Sometimes we should be very fast in thinking though!",pos,0.4574
And APC zombies claimed this fool had a magic wand to upgrade nepa to give light 247. They said if we want steady power supply we should vote out PDP. Funny enough the slowpoke who made that statement is the currently in charge of power and we are seeing  how they are giving us the light. They want to use this to buy time. What of the prepaid meter? ,pos,0.3664
USELESS COUNTRY WITH USELESS MASSES BEING LED BY USELESS LEADERS,neg,-0.8126
 what re the loads the mtn lumous can carry for 7300 per month,neu,0.0
Everything ends in the media. Failed State!,neg,-0.5562
I wish this will be an effective power plan.,pos,0.7003
"Go to JUMIA and purchase what you are describing for less than 20,000 naira. Stop supporting thieves.",neg,-0.3818
Good.,pos,0.4404
You are crazy.,neg,-0.34
How much taxes have you been paying since 1960?,neu,0.0
You want to go heaven but you no wan die.,neg,-0.7814
"how much you do you think will power Tinubu's or otedola's house with solar energy? but they are still using mikano gen, if solar energy that will power someone's flat  with everything  inside flat is sold 150k millions of people will be using it in nigeria and forget nepa,20k solar energy  in jumia ? For charging phones?",pos,0.6174
If you have 5 million cash you can get a solar system to power fridge 24hrs and AC during the day.,neu,0.0
"There are latest solar inverters which can power you appliances without battery, but you need battery for night time loads and also when that is a cloud cover briefly over the sun. It sells for 180k and above depending of capacity.",neu,0.0
Another lie to give us hope,pos,0.4404
"He's not as stupid as your useless, bastard, diseased father who was soo stupid he bleeped your prostitute mum without a condom. The useless man would have spared world an idiot and worthless fellow like you. Cursed fellow from a cursed stupid family. ",neg,-0.6675
Lies from the pit of hell all lies,neg,-0.8807
Failed government of empty promises!,neg,-0.4199
"all motion, no movement!",neg,-0.3595
Total ownership of the equipments after paying 4000 naira monthly for 3 years.Not a bad project if implimented without the usual nija bureaucracy and corruption.,neg,-0.5423
Aboki. You are ignored forever.,neg,-0.3182
Do you have air conditioner in your house? Stop talking trash here.,neg,-0.296
"person will be paying #4000 monthly for 3 years, why? na you create sun or what? how much is the solar panel that anyone should pay that amount... please person should calculate it for me",pos,0.5204
"How do you recover 5 million by collecting 4,000 monthly in three years? That would amount to less than 150,000. Not feasible. Unless it's clarified, the 4,000 monthly payment seems to be for use of the sun  ",neu,0.0
This is commendable and should put the sleeping fossil fuel based gencos and discos on their toes.,neu,0.0
"These are questions Nigerians shud ask,some houses abroad are run on solar, you can't only depend on hydro electric power .to produse the necessary grid,if private people provide high power solar panel,they can register thru government to supply every house who can pay.The question now is,is it 4k per house hold or per building .instead of people to rubbish any proposal by government, they shud ask meaningfull question.some people don't ever wish anything good for this country, they are always condemning everything.",pos,0.1635
"The technical specifications of various capacities should be displayed so that Nigerians will know what they are paying for, and not be shortchanged with a low quality solar package / system for such huge amount of money",pos,0.0516
.,neu,0.0
Its more like a scam.. Low grade solar panels that will probably only power a globe or florescent..,pos,0.1102
LOOK ENOUGH OF ALL THE SWEET TALK JUST AWARD THE CONTRACT AND POCKET THE MONEY LIKE YOU USUALLY DO........WHICH ONE IS 25M HOUSEHOLDS IN RURAL COMMUNITIES?? LIKE SERIOUSLY HOW DUMB DO YOU THINK WE ARE HOW ABOUT SERVICING AND MANTANANCE OF THE SOLAR PANELS WHO HANDLES THAT? YOU HAVE NOT BEEN ABLE TO PROVIDE BOREHOLE WATER TO THESE COMMUNITIES ITS NOW A SOLAR POWERED AND TECHNOLOGICALLY ANDVANCED PROJECT YOU WANT TO DELIVER? SEE ENOUGH OF ALL THIS JUST LOOT THE MONEY DONT WORRY NIGERIANS WOULD NOT COMPLAING THERES NO NEED TALKING ABOUT SOLAR TO JUSTIFY YOUR ACTIONS,pos,0.9012
Opinion or fact?,neu,0.0
Solar is expensive and not scalable.,neu,0.0
Mediocrity. Do you need government for solar electricity? They still want to control where we have passed them. ,neu,0.0
You guys eh!,neu,0.0
Just say you want to join the government in stealing Niger Delta oil money! How much tax have you paid? Did you pay to the federal government or Lagos state government? ,neg,-0.5027
If you all take things for free how would infrastructure spread round? ,pos,0.5106
People like you are part of Nigeria's problem.  You are the reason issues like subsidy and  privatisation have remained unresolved in the last 2 decades.,pos,0.3182
Solar is far cheaper.,neu,0.0
Solar just operates like your phone battery and is constantly charged by the sun.,pos,0.1779
I don't know what you mean by expensive and not scalable. ,neu,0.0
"I have been using solar system exclusively in my office for over two years now. I also use it alongside PHCN at home. Having used generators for years before switching to solar, I can tell you that solar system is far cheaper than using generator. With the increase in fuel and power tariff, it becomes even far better now. ",pos,0.6369
Nigerians will only consider the hundreds of thousands or a couple of millions they spend on solar system as expensive but they forget they will recover it over the years. ,neg,-0.3291
Anyone who has the means in Nigeria and still not using solar system is not smart all.,neg,-0.3089
when are they starting this business?,neu,0.0
Something that private businesses should do?,neu,0.0
Yoruba the most intelligent people in Nigeria,pos,0.5095
"Nigeria to the world, it doesn't matter where it is been achieved, what matter, Nigeria to the world.",neu,-0.0382
"Nah, he won't get anything.",neg,-0.1027
So? Is That Suppose To Make Us Like Him? It doesn't Change The Fact That He Is A Level 10 simp who Worships vagina people,pos,0.644
Nice,pos,0.4215
Nice development! Yoruba amaka!,pos,0.5242
shut the fuck up,neg,-0.5423
Nice one,pos,0.4215
These numerous 'technocrats' you say wouldn't fancy coming to Nigeria where there wealth of knowledge and experience would be subjected to the approval of an ssce certificate holder.,pos,0.743
Why crying?,neg,-0.4767
Good for him.,pos,0.4404
Congratulations Wale!,pos,0.636
The Democrats have a dark past but they seem to have learnt from it. They now are more inclusive and accommodating of other races than any other party in the US. ,pos,0.5499
"The white supremacist and nationalist undertone by the Republican party and Trump was their biggest downfall. There's no space in the world for tribalists, both in the local or global scale(so called nationalists).",pos,0.25
We are one in humanity. The earth belongs to everybody. No one brought a skin colour or land from heaven.,pos,0.2732
Beautiful,pos,0.5994
The People's president. ,neu,0.0
People waiting till 20th January 2021 won't like this.,neg,-0.2755
"Does that one make them to stop Bokko and expose the gluttons in ASO, this people have no interest of this nation.",neg,-0.25
Now I think Trump should pack his bags since we are part of the Government now.,neu,0.0
Biden has no won the election ,pos,0.3612
endeavour to kick prejudice and tribalism out of your life Your hatred for any tribe doesn't stop their progressYou're simply wasting your time Channel your energy on something more productive ,neg,-0.8027
"dear incoming President Biden, with all due respect, you appointed the wrong person, we Nigerians referred Tinubu, aka jagaban, he is very efficient, prudent, and honest in handling community treasury.",pos,0.8687
so Mr Biden on behave of all well meaning Nigerians we beg you to make the proper correction.,pos,0.2732
Ipobians will not like this,neg,-0.2755
Keep quiet.,neu,0.0
Are you that daft?,neu,0.0
Cool.,pos,0.3182
"Hmmmm.... Nothing new, but a great achievement to the Nigerian... Hope he serves to the best of his ability...",pos,0.7359
Treasury on fire!,neg,-0.2244
Sign of the End Time.,neu,0.0
The beginning of the fall of the Western Kingdom.,neu,0.0
